Country,Region,Happiness_Rank,Happiness_Score,GDP_Per_Capita,Healthy_Life_Expectancy,Freedom_To_Make_Life_Choices,Trust_On_Government,Generosity,Social_support
Nicaragua,Latin America and Caribbean,41,6.140999794,0.667999983,0.699999988,0.52700001,0.128000006,0.208000004,1.319000006
Poland,Central and Eastern Europe,42,6.123000145,1.175999999,0.781000018,0.546000004,0.064000003,0.108000003,1.447999954
Bahrain,Middle East and Northern Africa,43,6.105000019,1.338000059,0.698000014,0.593999982,0.123000003,0.243000001,1.366000056
Uzbekistan,Central and Eastern Europe,44,6.096000195,0.718999982,0.605000019,0.723999977,0.259000003,0.328000009,1.583999991
Kuwait,Middle East and Northern Africa,45,6.083000183,1.473999977,0.675000012,0.55400002,0.105999999,0.166999996,1.300999999
Thailand,Southeastern Asia,46,6.072000027,1.016000032,0.707000017,0.637000024,0.028999999,0.363999993,1.417000055
Italy,Western Europe,47,6,1.264000058,0.94599998,0.280999988,0.028000001,0.136999995,1.501000047
Ecuador,Latin America and Caribbean,48,5.97300005,0.888999999,0.736000001,0.555999994,0.119999997,0.114,1.330000043
Belize,Latin America and Caribbean,49,5.955999851,0.806999981,0.474000007,0.592999995,0.089000002,0.182999998,1.100999951
Lithuania,Central and Eastern Europe,50,5.952000141,1.197000027,0.716000021,0.349999994,0.006,0.026000001,1.52699995
Slovenia,Central and Eastern Europe,51,5.947999954,1.218999982,0.856000006,0.633000016,0.050999999,0.159999996,1.506000042
Romania,Central and Eastern Europe,52,5.945000172,1.116000056,0.726000011,0.527999997,0.001,0.088,1.218999982
Latvia,Central and Eastern Europe,53,5.933000088,1.148000002,0.671000004,0.363000005,0.066,0.092,1.453999996
Japan,Eastern Asia,54,5.914999962,1.29400003,0.987999976,0.552999973,0.150000006,0.079000004,1.462000012
Mauritius,Sub-Saharan Africa,55,5.890999794,1.090000033,0.684000015,0.583999991,0.050000001,0.245000005,1.386999965
Jamaica,Latin America and Caribbean,56,5.889999866,0.819000006,0.693000019,0.574999988,0.030999999,0.096000001,1.493000031
South Korea,Eastern Asia,57,5.875,1.266000032,0.954999983,0.244000003,0.050999999,0.174999997,1.203999996
Northern Cyprus,UNKNOWN,58,5.835000038,1.228999972,0.908999979,0.495000005,0.153999999,0.179000005,1.210999966
Russia,Central and Eastern Europe,59,5.809999943,1.151000023,0.598999977,0.398999989,0.025,0.064999998,1.478999972
Kazakhstan,Central and Eastern Europe,60,5.789999962,1.143000007,0.630999982,0.453999996,0.120999999,0.148000002,1.516000032
Cyprus,Western Europe,61,5.762000084,1.228999972,0.908999979,0.423000008,0.035,0.202000007,1.190999985
Bolivia,Latin America and Caribbean,62,5.751999855,0.750999987,0.508000016,0.606000006,0.054000001,0.141000003,1.22300005
Estonia,Central and Eastern Europe,63,5.738999844,1.200000048,0.736999989,0.552999973,0.173999995,0.086000003,1.531999946
Paraguay,Latin America and Caribbean,64,5.681000233,0.834999979,0.61500001,0.541000009,0.074000001,0.162,1.521999955
Peru,Latin America and Caribbean,65,5.663000107,0.934000015,0.674000025,0.529999971,0.034000002,0.092,1.248999953
Kosovo,Central and Eastern Europe,66,5.662000179,0.855000019,0.578000009,0.448000014,0.023,0.273999989,1.230000019
Moldova,Central and Eastern Europe,67,5.639999866,0.657000005,0.620000005,0.231999993,0,0.171000004,1.300999999
Turkmenistan,Central and Eastern Europe,68,5.636000156,1.016000032,0.51700002,0.416999996,0.037,0.199000001,1.532999992
Hungary,Central and Eastern Europe,69,5.619999886,1.171000004,0.731999993,0.259000003,0.022,0.061000001,1.401000023
Libya,Middle East and Northern Africa,70,5.565999985,0.985000014,0.552999973,0.495999992,0.148000002,0.115999997,1.350000024
Philippines,Southeastern Asia,71,5.524000168,0.774999976,0.513000011,0.643000007,0.104999997,0.119999997,1.312000036
Honduras,Latin America and Caribbean,72,5.504000187,0.620000005,0.621999979,0.458999991,0.074000001,0.196999997,1.205000043
Belarus,Central and Eastern Europe,73,5.482999802,1.039000034,0.699999988,0.307000011,0.153999999,0.101000004,1.498000026
Turkey,Middle East and Northern Africa,74,5.482999802,1.148000002,0.68599999,0.324000001,0.108999997,0.105999999,1.379999995
Pakistan,Southern Asia,75,5.472000122,0.65200001,0.423999995,0.333999991,0.112999998,0.216000006,0.810000002
Hong Kong,Eastern Asia,76,5.429999828,1.404999971,1.029999971,0.523999989,0.291000009,0.246000007,1.289999962
Portugal,Western Europe,77,5.409999847,1.187999964,0.884000003,0.561999977,0.017000001,0.055,1.42900002
Serbia,Central and Eastern Europe,78,5.397999763,0.975000024,0.685000002,0.287999988,0.043000001,0.134000003,1.368999958
Greece,Western Europe,79,5.357999802,1.154000044,0.879000008,0.130999997,0.044,0,1.202000022
Lebanon,Middle East and Northern Africa,80,5.357999802,0.964999974,0.785000026,0.503000021,0.136000007,0.214000002,1.17900002
Montenegro,Central and Eastern Europe,81,5.347000122,1.01699996,0.728999972,0.259000003,0.081,0.111000001,1.279000044
Croatia,Central and Eastern Europe,82,5.321000099,1.11500001,0.736999989,0.379999995,0.039000001,0.119999997,1.161000013
Dominican Republic,Latin America and Caribbean,83,5.302000046,0.981999993,0.614000022,0.578000009,0.105999999,0.119999997,1.440999985
Algeria,Middle East and Northern Africa,84,5.295000076,0.978999972,0.686999977,0.077,0.135000005,0.055,1.154000044
Morocco,Middle East and Northern Africa,85,5.254000187,0.778999984,0.66900003,0.460000008,0.074000001,0.026000001,0.796999991
China,Eastern Asia,86,5.245999813,0.989000022,0.799000025,0.597000003,0.103,0.028999999,1.14199996
Azerbaijan,Central and Eastern Europe,87,5.201000214,1.024000049,0.602999985,0.430000007,0.175999999,0.030999999,1.161000013
Tajikistan,Central and Eastern Europe,88,5.198999882,0.474000007,0.59799999,0.291999996,0.034000002,0.187000006,1.166000009
Macedonia,Central and Eastern Europe,89,5.184999943,0.958999991,0.690999985,0.393999994,0.052000001,0.172999993,1.238999963
Jordan,Middle East and Northern Africa,90,5.160999775,0.822000027,0.644999981,0.467999995,0.134000003,0.129999995,1.264999986
Nigeria,Sub-Saharan Africa,91,5.15500021,0.68900001,0.048,0.462000012,0.032000002,0.201000005,1.172000051
Kyrgyzstan,Central and Eastern Europe,92,5.131000042,0.529999971,0.593999982,0.540000021,0.035,0.280999988,1.416000009
Bosnia and Herzegovina,Central and Eastern Europe,93,5.129000187,0.915000021,0.758000016,0.280000001,0,0.216000006,1.077999949
Mongolia,Eastern Asia,94,5.125,0.913999975,0.574999988,0.395000011,0.032000002,0.252999991,1.51699996
Vietnam,Southeastern Asia,95,5.103000164,0.714999974,0.702000022,0.617999971,0.079000004,0.177000001,1.36500001
Indonesia,Southeastern Asia,96,5.092999935,0.898999989,0.522000015,0.537999988,0.017999999,0.483999997,1.215000033
Bhutan,Southern Asia,97,5.081999779,0.796000004,0.52700001,0.541000009,0.171000004,0.363999993,1.335000038
Somalia,Sub-Saharan Africa,98,4.981999874,0,0.115000002,0.674000025,0.282000005,0.238000005,0.712000012
Cameroon,Sub-Saharan Africa,99,4.974999905,0.535000026,0.181999996,0.453999996,0.043000001,0.182999998,0.890999973
Bulgaria,Central and Eastern Europe,100,4.933000088,1.05400002,0.712000012,0.358999997,0.009,0.064000003,1.514999986
Nepal,Southern Asia,101,4.880000114,0.425000012,0.538999975,0.526000023,0.078000002,0.301999986,1.228000045
Venezuela,Latin America and Caribbean,102,4.806000233,0.995999992,0.657000005,0.133000001,0.052000001,0.056000002,1.468999982
Gabon,Sub-Saharan Africa,103,4.757999897,1.036000013,0.404000014,0.356000006,0.052000001,0.032000002,1.164000034
Palestinian Territories,Middle East and Northern Africa,104,4.743000031,0.64200002,0.601999998,0.266000003,0.075999998,0.086000003,1.217000008
South Africa,Sub-Saharan Africa,105,4.723999977,0.939999998,0.330000013,0.515999973,0.056000002,0.103,1.409999967
Iran,Middle East and Northern Africa,106,4.706999779,1.059000015,0.690999985,0.458999991,0.128999993,0.282000005,0.771000028
Ivory Coast,Sub-Saharan Africa,107,4.671000004,0.541000009,0.079999998,0.467000008,0.103,0.145999998,0.871999979
Ghana,Sub-Saharan Africa,108,4.657000065,0.592000008,0.337000012,0.499000013,0.028999999,0.211999997,0.896000028
Senegal,Sub-Saharan Africa,109,4.631000042,0.42899999,0.432999998,0.405999988,0.082000002,0.137999997,1.116999984
Laos,Southeastern Asia,110,4.623000145,0.720000029,0.441000015,0.625999987,0.173999995,0.230000004,1.034000039
Tunisia,Middle East and Northern Africa,111,4.592000008,0.899999976,0.689999998,0.270999998,0.063000001,0.039999999,0.906000018
Albania,Central and Eastern Europe,112,4.585999966,0.916000009,0.790000021,0.419,0.032000002,0.149000004,0.816999972
Sierra Leone,Sub-Saharan Africa,113,4.571000099,0.256000012,0,0.354999989,0.052999999,0.238000005,0.813000023
Congo (Brazzaville),Sub-Saharan Africa,114,4.559000015,0.681999981,0.342999995,0.513999999,0.077,0.090999998,0.81099999
Bangladesh,Southern Asia,115,4.5,0.532000005,0.578999996,0.579999983,0.143999994,0.152999997,0.850000024
Sri Lanka,Southern Asia,116,4.471000195,0.917999983,0.671999991,0.584999979,0.050000001,0.307000011,1.31400001
Iraq,Middle East and Northern Africa,117,4.455999851,1.00999999,0.536000013,0.30399999,0.094999999,0.148000002,0.971000016
Mali,Sub-Saharan Africa,118,4.447000027,0.370000005,0.151999995,0.367000014,0.056000002,0.138999999,1.23300004
Namibia,Sub-Saharan Africa,119,4.440999985,0.874000013,0.36500001,0.518999994,0.064000003,0.050999999,1.281000018
Cambodia,Southeastern Asia,120,4.433000088,0.549000025,0.456999987,0.69599998,0.064999998,0.256000012,1.088000059
Burkina Faso,Sub-Saharan Africa,121,4.423999786,0.31400001,0.254000008,0.312000006,0.128000006,0.174999997,1.097000003
Egypt,Middle East and Northern Africa,122,4.419000149,0.88499999,0.552999973,0.312000006,0.107000001,0.092,1.024999976
Mozambique,Sub-Saharan Africa,123,4.416999817,0.197999999,0.172999993,0.531000018,0.158000007,0.206,0.90200001
Kenya,Sub-Saharan Africa,124,4.409999847,0.493000001,0.453999996,0.504000008,0.055,0.351999998,1.047999978
Zambia,Sub-Saharan Africa,125,4.376999855,0.561999977,0.294999987,0.503000021,0.082000002,0.221000001,1.047000051
Mauritania,Sub-Saharan Africa,126,4.355999947,0.556999981,0.291999996,0.128999993,0.093000002,0.134000003,1.245000005
Ethiopia,Sub-Saharan Africa,127,4.349999905,0.307999998,0.391000003,0.451999992,0.145999998,0.219999999,0.949999988
Georgia,Central and Eastern Europe,128,4.340000153,0.852999985,0.643000007,0.375,0.215000004,0.037999999,0.592000008
Armenia,Central and Eastern Europe,129,4.321000099,0.815999985,0.666000009,0.25999999,0.028000001,0.077,0.99000001
Myanmar,Southeastern Asia,130,4.308000088,0.681999981,0.42899999,0.579999983,0.178000003,0.59799999,1.174000025
Chad,Sub-Saharan Africa,131,4.301000118,0.35800001,0.052999999,0.188999996,0.059999999,0.180999994,0.907000005
Congo (Kinshasa),Sub-Saharan Africa,132,4.244999886,0.068999998,0.203999996,0.312000006,0.052000001,0.196999997,1.136000037
India,Southern Asia,133,4.190000057,0.721000016,0.485000014,0.538999975,0.093000002,0.172000006,0.746999979
Niger,Sub-Saharan Africa,134,4.165999889,0.130999997,0.221000001,0.389999986,0.098999999,0.174999997,0.866999984
Uganda,Sub-Saharan Africa,135,4.160999775,0.321999997,0.237000003,0.449999988,0.061000001,0.259000003,1.090000033
Benin,Sub-Saharan Africa,136,4.140999794,0.377999991,0.239999995,0.439999998,0.067000002,0.163000003,0.372000009
Sudan,Sub-Saharan Africa,137,4.138999939,0.605000019,0.312000006,0.016000001,0.082000002,0.134000003,1.24000001
Ukraine,Central and Eastern Europe,138,4.103000164,0.792999983,0.609000027,0.163000003,0.011,0.187000006,1.412999988
Togo,Sub-Saharan Africa,139,3.999000072,0.259000003,0.252999991,0.433999985,0.101000004,0.158000007,0.474000007
Guinea,Sub-Saharan Africa,140,3.963999987,0.344000012,0.210999995,0.393999994,0.093999997,0.185000002,0.791999996
Lesotho,Sub-Saharan Africa,141,3.808000088,0.472000003,0.079000004,0.423000008,0.112000003,0.115999997,1.215000033
Angola,Sub-Saharan Africa,142,3.795000076,0.730000019,0.268999994,0,0.061000001,0.079000004,1.125
Madagascar,Sub-Saharan Africa,143,3.773999929,0.261999995,0.40200001,0.221000001,0.048999999,0.155000001,0.907999992
Zimbabwe,Sub-Saharan Africa,144,3.691999912,0.356999993,0.247999996,0.405999988,0.098999999,0.131999999,1.093999982
Afghanistan,Southern Asia,145,3.631999969,0.331999987,0.254999995,0.085000001,0.035999998,0.191,0.537
Botswana,Sub-Saharan Africa,146,3.589999914,1.01699996,0.416999996,0.556999981,0.092,0.041999999,1.174000025
Malawi,Sub-Saharan Africa,147,3.586999893,0.186000004,0.305999994,0.531000018,0.079999998,0.209999993,0.541000009
Haiti,Latin America and Caribbean,148,3.582000017,0.314999998,0.289000005,0.025,0.104000002,0.39199999,0.713999987
Liberia,Sub-Saharan Africa,149,3.494999886,0.075999998,0.26699999,0.419,0.029999999,0.206,0.85799998
Syria,Middle East and Northern Africa,150,3.461999893,0.68900001,0.538999975,0.088,0.143999994,0.375999987,0.381999999
Rwanda,Sub-Saharan Africa,151,3.407999992,0.331999987,0.400000006,0.635999978,0.444000006,0.200000003,0.896000028
Yemen,Middle East and Northern Africa,152,3.355000019,0.442000002,0.342999995,0.244000003,0.064000003,0.082999997,1.072999954
Tanzania,Sub-Saharan Africa,153,3.302999973,0.455000013,0.381000012,0.481000006,0.097000003,0.270000011,0.990999997
South Sudan,Sub-Saharan Africa,154,3.253999949,0.337000012,0.177000001,0.112000003,0.105999999,0.224000007,0.60799998
Central African Republic,Sub-Saharan Africa,155,3.082999945,0.024,0.01,0.305000007,0.037999999,0.217999995,0
Burundi,Sub-Saharan Africa,156,2.904999971,0.090999998,0.144999996,0.064999998,0.075999998,0.149000004,0.626999974
