Country,Region,Happiness_Rank,Happiness_Score,GDP_Per_Capita,Healthy_Life_Expectancy,Freedom_To_Make_Life_Choices,Trust_On_Government,Generosity,Social_support
Finland,Western Europe,1,7.631999969,1.304999948,0.874000013,0.680999994,0.393000007,0.202000007,1.592000008
Norway,Western Europe,2,7.593999863,1.45599997,0.861000001,0.68599999,0.340000004,0.286000013,1.582000017
Denmark,Western Europe,3,7.554999828,1.350999951,0.867999971,0.683000028,0.407999992,0.284000009,1.590000033
Iceland,Western Europe,4,7.494999886,1.343000054,0.913999975,0.676999986,0.137999997,0.352999985,1.644000053
Switzerland,Western Europe,5,7.486999989,1.419999957,0.926999986,0.660000026,0.356999993,0.256000012,1.549000025
Netherlands,Western Europe,6,7.440999985,1.360999942,0.878000021,0.638000011,0.294999987,0.333000004,1.488000035
Canada,North America,7,7.328000069,1.330000043,0.896000028,0.652999997,0.291000009,0.32100001,1.531999946
New Zealand,Australia and New Zealand,8,7.323999882,1.268000007,0.875999987,0.66900003,0.388999999,0.36500001,1.600999951
Sweden,Western Europe,9,7.31400013,1.355000019,0.912999988,0.658999979,0.382999986,0.284999996,1.501000047
Australia,Australia and New Zealand,10,7.271999836,1.340000033,0.910000026,0.647000015,0.301999986,0.361000001,1.572999954
United Kingdom,Western Europe,11,7.190000057,1.243999958,0.888000011,0.463999987,0.082000002,0.261999995,1.432999969
Austria,Western Europe,12,7.138999939,1.340999961,0.890999973,0.616999984,0.224000007,0.241999999,1.503999949
Costa Rica,Latin America and Caribbean,13,7.072000027,1.00999999,0.816999972,0.632000029,0.101000004,0.143000007,1.458999991
Ireland,Western Europe,14,6.977000237,1.447999954,0.875999987,0.614000022,0.305999994,0.307000011,1.582999945
Germany,Western Europe,15,6.965000153,1.340000033,0.861000001,0.586000025,0.280000001,0.273000002,1.473999977
Belgium,Western Europe,16,6.927000046,1.324000001,0.893999994,0.583000004,0.239999995,0.187999994,1.48300004
Luxembourg,Western Europe,17,6.909999847,1.575999975,0.896000028,0.632000029,0.32100001,0.195999995,1.519999981
United States,North America,18,6.886000156,1.398000002,0.819000006,0.546999991,0.133000001,0.291000009,1.470999956
Israel,Middle East and Northern Africa,19,6.81400013,1.300999999,0.883000016,0.532999992,0.272000015,0.354000002,1.559000015
United Arab Emirates,Middle East and Northern Africa,20,6.774000168,2.095999956,0.670000017,0.284000009,NULL,0.186000004,0.776000023
Czech Republic,Central and Eastern Europe,21,6.710999966,1.23300004,0.853999972,0.542999983,0.034000002,0.064000003,1.488999963
Malta,Western Europe,22,6.626999855,1.269999981,0.884000003,0.644999981,0.142000005,0.375999987,1.524999976
France,Western Europe,23,6.488999844,1.292999983,0.907999992,0.519999981,0.175999999,0.097999997,1.465999961
Mexico,Latin America and Caribbean,24,6.487999916,1.037999988,0.760999978,0.479000002,0.094999999,0.068999998,1.251999974
Chile,Latin America and Caribbean,25,6.475999832,1.131000042,0.808000028,0.430999994,0.061000001,0.196999997,1.33099997
Taiwan,Eastern Asia,26,6.440999985,1.36500001,0.856999993,0.418000013,0.078000002,0.150999993,1.43599999
Panama,Latin America and Caribbean,27,6.429999828,1.111999989,0.759000003,0.597000003,0.063000001,0.125,1.437999964
Brazil,Latin America and Caribbean,28,6.419000149,0.986000001,0.675000012,0.493000001,0.088,0.109999999,1.473999977
Argentina,Latin America and Caribbean,29,6.388000011,1.072999954,0.744000018,0.569999993,0.054000001,0.061999999,1.468000054
Guatemala,Latin America and Caribbean,30,6.381999969,0.781000018,0.60799998,0.603999972,0.071000002,0.179000005,1.268000007
Uruguay,Latin America and Caribbean,31,6.379000187,1.093000054,0.771000028,0.625,0.155000001,0.129999995,1.458999991
Qatar,Middle East and Northern Africa,32,6.374000072,1.649000049,0.748000026,0.653999984,0.171000004,0.256000012,1.302999973
Saudi Arabia,Middle East and Northern Africa,33,6.370999813,1.378999949,0.633000016,0.509000003,0.127000004,0.097999997,1.33099997
Singapore,Southeastern Asia,34,6.342999935,1.529000044,1.008000016,0.630999982,0.456999987,0.261000007,1.450999975
Malaysia,Southeastern Asia,35,6.322000027,1.161000013,0.66900003,0.356000006,0.059,0.31099999,1.258000016
Spain,Western Europe,36,6.309999943,1.251000047,0.964999974,0.449000001,0.074000001,0.142000005,1.537999988
Colombia,Latin America and Caribbean,37,6.260000229,0.959999979,0.63499999,0.531000018,0.039000001,0.098999999,1.43900001
Trinidad & Tobago,UNKNOWN,38,6.191999912,1.22300005,0.56400001,0.574999988,0.018999999,0.171000004,1.491999984
Slovakia,Central and Eastern Europe,39,6.172999859,1.210000038,0.776000023,0.354000002,0.014,0.118000001,1.536999941
El Salvador,Latin America and Caribbean,40,6.166999817,0.805999994,0.638999999,0.460999995,0.082000002,0.064999998,1.230999947
